nid,uid,path,title,body,field_images,field_main_image,field_main_image_alt,langcode,changed,field_image_attribution_ahc,field_slideshow_ahc,field_pdf
385028,1,/ahc/fehr-granger-bastrop-state-park,Fehr &amp; Granger - Bastrop State Park,"<h2>Bastrop State Park</h2>\n\n<p><img alt=""Bastrop State Park"" src=""/library/u13982/ar-2009-014-175.jpg"" style=""width: 467px; height: 373px;"" /><br />\n<span style=""font-size:8.0pt""><span>Bastrop State Park AR-2009-014-175</span></span></p>\n\n<p>Working for the National Park Service from 1934 to 1936, Arthur Fehr designed&nbsp;cabins and supervised the building of the refectory at Bastrop State Park in Bastrop Texas. A showplace of materials and craftsmanship, the park earned a National Historic Landmark designation in 1997, one of only 7 Civilian Conservation Corps state parks across the nation awarded that honor. Built with Bastrop County timber and red sandstone quarried nearby, Fehr designed the rustic style structures in harmony with the surrounding landscape. Fehr also designed furniture and fixtures that were used there and throughout the National Park Service. It is on the site of this project that Arthur Fehr met Charles Granger, who was working while still a student at The University of Texas at Austin.</p>\n\n\n\n\n<p><a href=""/ahc/fehr-granger-mid-century-architects"">Home</a> | <a href=""/ahc/fehr-granger-residential"">Residential</a>&nbsp;| <a href=""/ahc/fehr-granger-commercial-work"">Commercial</a> |<a href=""/ahc/fehr-granger-educational"">&nbsp;Educational</a> |&nbsp;<a href=""/ahc/fehr-granger-ecclesiastical-work"">Ecclesiastical</a> |&nbsp;<a href=""/ahc/fehr-granger-bastrop-state-park"">Bastrop Park</a>&nbsp;| <a href=""/ahc/fehr-and-granger-map-works"">Map</a> | <a href=""/ahc/fehr-granger-austin-history-center-resources"">Resources</a></p>",,http://library.austintexas.gov/library/fg-banner-960_3.jpg,Fehr and Granger logo,English,1712093178,,,
385022,1,/ahc/fehr-granger-commercial-work,Fehr &amp; Granger Commercial Work,"<h2><commercial work="""">\n<p><img 500px="""" alt=""Robert Mueller Airport"" src=""/library/u13982/ar-2009-014-144b.jpg"" width:="""" /><br />\n<span style=""font-size:8.0pt""><span>Robert Mueller Airport, AR-2009-014-144, Photo by Dewey Mears</span></span></p>\n\n<h3>Robert Mueller Airport&nbsp;&nbsp;&nbsp;</h3>\n\n<p><em><strong>“…an excellent solution in planning, as well as design expression.” </strong>–Progressive Architecture&nbsp;</em></p>\n\n<p>A project of particular note is the Robert Mueller Airport terminal and control tower, for which Fehr and Granger won the Progressive Architecture Design Award&nbsp;in 1959. Set off with light and dark blue porcelain panels, the iconic control tower rose out of the large scalloped terminal roof. The one-story terminal had a centralized outdoor court, a concourse, and a waiting lounge. Completed in 1961, the architects hoped to “express something of the spirit of progress which exists in air travel today.” The terminal was eventually torn down but the restored control tower still stands at what is now the Mueller Community, a mix of residential, commercial and retail developments in northeast Austin.</p>\n\n<p><img alt=""St. Elmo-Tel"" src=""/library/u13982/ar-2009-014-013.jpg"" style=""width: 500px; height: 347px;"" /><br />\n<span style=""font-size:8.0pt""><span>St. Elmo-Tel,&nbsp;AR-2009-014-013, Photograph by St. Thomas NY</span></span></p>\n\n<h3>St. Elmo-Tel</h3>\n\n<p><strong><i>“As Modern As Tomorrow”</i></strong></p>\n\n<p>Located on Highway 81, one mile from the southern city limits of Austin, the St. Elmo–Tel was a classic motor court that claimed to be the most modern in the state of Texas when it was built in the 1940s. Advertisements boasted of elegant furnishings and linens, hot and cold water, telephones, a garage for each accommodation and an air-conditioned lounge with a fireplace of native stone. The kitchen units included “the&nbsp;Murphy-Cabranette, the very latest designed electrical refrigerator, gas stove, kitchen cabinet and sink combined into one compact unit…”&nbsp; With well-planned landscaping, the site was selected for its expansive view and was positioned to take advantage of cross breezes.</p>\n\n<p><img alt=""Westwood Country Club"" src=""/library/u13982/ar-2009-014-164.jpg"" style=""width: 500px; height: 304px;"" /><br />\n<span style=""font-size:8.0pt""><span>Westwood Country Club,&nbsp;AR-2009-014-164, Photograph by Dewey Mears</span></span></p>\n\n<h3>Westwood Country Club</h3>\n\n<p><i><strong>“We sound the client’s tastes and desires and then try to elevate these wishes and give the structure something extra.”</strong></i> –Arthur Fehr</p>\n\n<p>Major club facilities were added to an existing site with an historic mansion on a rough property that adjoins Lake Austin. The addition combined native stone and concrete block with flooring that included wood block, terrazzo, marble chips and ceramic tile. The facility required space for a range of activities such as swimming, dances, formal events, and boating. Flexibility within the building is provided with an open plan and movable divider partitions; the downstairs serving children’s activities and the upper level more for adult events.</p>\n\n<p><img alt=""Office of Fehr and Granger"" src=""/library/u13982/ar-2009-014-319.jpg"" style=""width: 500px; height: 403px;"" /><br />\n<span style=""font-size:8.0pt""><span>Office of Fehr and Granger,&nbsp;AR-2009-014-319, Photograph by Dewey Mears</span></span></p>\n\n<h3>The Office of Fehr and Granger</h3>\n\n<p><strong><i>“It is the architect’s responsibility to translate through research and creative professional skill the client’s needs into their proper functional relationships within the economic resources available, using not only his creative ability but the best engineering judgment and technology. The buildings which result from this approach are structures of beauty, efficiency and sound economy. This is true architecture.”</i></strong></p>\n\n<p>-Fehr and Granger Portfolio Statement</p>\n\n<p>Situated on the banks of Waller Creek, the office building was designed by Fehr and Granger and completed in 1957. With windows facing north and south, the reinforced-concrete structure was known all over town as “that red-brick building on the creek.” The architectural firm occupied most of the upper floor while the lower floor was rented out to an engineering firm. Featuring air conditioning, the building was raised on columns which provided shaded parking for ten cars.</p>\n\n<p>&nbsp;</p>\n\n<p><a href=""/ahc/fehr-granger-mid-century-architects"">Home</a> | <a href=""/ahc/fehr-granger-residential"">Residential</a>&nbsp;| <a href=""/ahc/fehr-granger-commercial-work"">Commercial</a> |<a href=""/ahc/fehr-granger-educational"">&nbsp;Educational</a> |&nbsp;<a href=""/ahc/fehr-granger-ecclesiastical-work"">Ecclesiastical</a> |&nbsp;<a href=""/ahc/fehr-granger-bastrop-state-park"">Bastrop Park</a>&nbsp;| <a href=""/ahc/fehr-and-granger-map-works"">Map</a> | <a href=""/ahc/fehr-granger-austin-history-center-resources"">Resources</a></p>\n</commercial></h2>",,http://library.austintexas.gov/library/fg-banner-960.jpg,Fehr and Granger logo,English,1712092167,,,
383756,1,/ahc/vietnam-austin-cultivating-future,Vietnam to Austin: Cultivating a Future,"<p>Brought together by a shared cultural history and experiences of displacement, Vietnamese Americans in Austin have created various community organizations to ensure their memories, culture, and identity are preserved and shared with the next generation.</p>\n\n<h3>Austin's Chinatown</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048239b.jpg"" /></p>\n\n<p>[Chinatown Plaza in Austin], 2008, AR.2009.048(239)b, ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>This 180,000 sq. foot retail center is located in North Austin at the intersection of N. Lamar and W. Braker Lane&nbsp;and includes over 20 Asian-owned businesses and organizations. Having opened in 2006, Chinatown’s largest store is MT Supermarket, a 68,000 square-foot grocery store that sells a variety of seafood, produce, and Asian food items. Many Vietnamese stores and restaurants also serve the growing population of Asians within the 5-mile radius of Chinatown.</p>\n\n<h3>Vietnamese Dual Language Program</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048198b.jpg"" style=""width: 500px; height: 328px;"" /></p>\n\n<p>[Students and teacher] 2008, AR.2009.048 (198), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>Dr. Chat Thiet started the Vietnamese bilingual program in 1983 at Walnut Creek Elementary School.&nbsp;This program offers students, whose primary language is Vietnamese, help with their classwork to make the transition into English-only classrooms easier.&nbsp; It also provides in-class and after-school programs that teach Vietnamese culture and language so that the students can maintain their own heritage.&nbsp;The students showcase what they learn in these programs at various festivals and the Lunar New Year Festival called Tết. Now serving over 200 students, the AISD Vietnamese bilingual program moved from Walnut Creek Elementary School to Summit Elementary School in 2008.&nbsp;</p>\n\n<h3>Vietnamese American Heritage Foundation (VAHF)</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048161.jpg"" style=""width: 500px; height: 439px;"" /></p>\n\n<p>[Flag of the U.S., Guam, and South Vietnam] 2008, AR.2009.048 (161), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>In 2004, VAHF was formed to provide resources about Vietnamese Americans to researchers, students, policymakers, and the general public. The goal is to collect materials about the history and culture of Vietnamese people in America. This work continues today through an oral history project to document the unique life experiences of Vietnamese Americans in their own words.They also have a collection of over 200,000 pages of documents, images, official records and personal correspondence that highlight the moral and humanitarian contributions of the United States to its South Vietnamese allies. This collection is now housed at the Vietnam Center at Texas Tech University in Lubbock. VAHF has collaborated with The University of Texas, the Bob Bullock Texas State History Museum, Austin History Center, and other institutions to organize exhibitions. VAHF members have also organized several programs to honor well-known individuals in both the Vietnamese American community and the general public.</p>\n\n<h3>Youth and Young Professional Organizations</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048181b.jpg"" style=""width: 500px; height: 333px;"" /></p>\n\n<p>[Vietnamese American youth] undated, AR.2009.048 (181), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>The Vietnamese American community in Austin is energetic and flourishing, as personified by this group of young people at a Youth Leadership Development Camp sponsored by the Vietnamese Culture and Science Association (VCSA). Founded in 1990, VCSA is based in Houston with over 500 members, mostly young Vietnamese American professionals in US and Canada.&nbsp; VCSA promotes excellence in education and leadership and encourages civic participation through various events and programs. VCSA-Austin Chapter started in 2001.</p>\n\n<p>&nbsp;</p>",,,,English,1701776849,,,
383755,1,/ahc/vietnam-austin-connected-faith,Vietnam to Austin: Connected by Faith,"<p>Religion is an important part of the Vietnamese American community and has played a significant role in restoring the faiths of many individuals and families in their new home. The two major religions are Buddhism and Catholicism.</p>\n\n<h3>Linh Son Temple</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048088.jpg"" style=""width: 500px; height: 375px;"" /></p>\n\n<p>[Weekly worship], 2008, AR.2009.048(088), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>The largest Vietnamese Buddhist Temple is Linh-Son. It was established in 1983 and has two locations, one in Leander and a smaller temple in north Austin. On special events such as Lunar New Year, Buddha’s Birthday, Autumn Festival, and Buddhist Mother’s Day, there are over 500 people who gather to celebrate and worship at the 1,500 sq. ft temple in Leander. The main goals of Linh-Son Buddhist Temple are to provide Buddhist teachings and spiritual guidance and offer activities that teach Vietnamese language to kids and adults.</p>\n\n<h3>Holy Vietnamese Martyrs Catholic Church</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048207.jpg"" style=""width: 500px; height: 338px;"" /></p>\n\n<p>[Father Joseph Van Anh Nguyen leads service], undated, AR.2009.048(207), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>The largest Vietnamese Catholic Church is the Holy Vietnamese Martyrs Catholic Church. On September 2, 1975, Father Joseph Van Anh Nguyen was assigned to Sacred Heart Parish in Austin to take care of refugees in central and southern regions. In 1987, Father Joseph Nguyen was transferred to St. Joseph Church in Manor to serve the 120 families of the Vietnamese Catholic community. As the congregation grew, so did the need for their own facility, and in 1990, the church moved into their own building on across the street to accommodate the increasing number of parishioners.</p>",,,,English,1701776872,,,
383754,1,/ahc/vietnam-austin-learning-live-again,Vietnam to Austin: Learning to Live Again,"<p>Once Vietnamese refugees arrived in the United States, they faced many hardships settling into their new homes. They had to learn English, obtain job training, find employment, secure housing, and provide education for their children. Some families also had to find assistance for their elderly parents. This was in addition to the challenge of becoming accustomed to a new culture and foreign surroundings. Nevertheless, with the strength and endurance gained from their struggles, many Vietnamese Americans received the education and training necessary to become skilled workers and professionals in many different fields. Vietnamese refugees worked hard to find success in their new country.</p>\n\n<h3>Community Profile: Lana's Enterprises</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048244b.jpg"" style=""width: 411px; height: 395px;"" /></p>\n\n<p>[Lana and her packaged eggrolls], undated, AR.2009.048(244)b, ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>While working for a tech company, Lana Lartigue found that the egg rolls she brought to work for special occasions were a big hit and in 1986, started Lana’s Enterprises. Her all natural egg rolls are now sold in major grocery stores including HEB, Central Market and Whole Foods. Her line has expanded to include a Mexican line and also sells at various deli’s and convenience stores.</p>\n\n<h3>Community Profile: Andrew Lam and Cam Van Nguyen</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048241b.jpg"" style=""width: 500px; height: 333px;"" /></p>\n\n<p>[Andrew Lam and Cam Van Nguyen], undated, AR.2009.048(241)b, ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>Many Vietnamese young professionals work in the tech industry in Austin. Andrew Lam and Cam Van Nguyen work for IBM as software engineers. IBM encourages its employees to volunteer in the community. Both Andrew and Cam Van served as Board members of the Vietnamese American Heritage Foundation.</p>\n\n<h3>Community Profile: Thao Tran</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048242b.jpg"" style=""width: 500px; height: 334px;"" /></p>\n\n<p>[Deluxe Nails &amp; Day Salon], undated, AR.2009.048(242)b, ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>Thao Tran is the manager of Deluxe Nails &amp; Day Spa in North Austin. It is estimated that there are over 300 Vietnamese-owned nail salons in Austin and the surrounding area. The nail salon business is common among this community because licensing procedure is relatively short, employees are able to make a good income with little language skills, and the work schedule is flexible.</p>",,,,English,1701776833,,,
383753,1,/ahc/vietnam-austin-seeking-refuge,Vietnam to Austin: Seeking Refuge,"<p>Refugees from Vietnam left in the thousands and arrived at refugee camps in Guam, Thailand, Indonesia and the Philippines. Many escaped by boat and others would leave through the Orderly Departure Program (ODP) that was facilitated by the US and permitted by the North Vietnamese government in 1979. Some refugees made a home in Asian countries, but most would filter into new host countries in Europe and the United States.</p>\n\n<p>Approximately 500,000 Vietnamese people came to the US through the ODP, but arriving in the US was only the first step. The transition for Vietnamese people to American life had many challenges. Charitable organizations stepped in and offered assistance in grappling with the most basic needs such as housing and employment. Vietnamese refugees found Austin welcoming, with willing Americans helping them navigate a place where the language and their lack of resources created enormous barriers to a normal life.</p>\n\n<p>There were about 2000 Vietnamese refugees in Austin by 1980. Many of them received assistance with their transitional period through the Caritas refugee program and the help of their sponsors such as Westlake Hills Presbyterian Church.</p>\n\n<h3>Community Profile: Truc Nguyen</h3>\n\n<p><img alt="""" src=""/library/u13552/ar.2009.048123_0.jpg"" style=""width: 500px; height: 620px;"" /></p>\n\n<p>[Truc Nguyen], undated,&nbsp;AR.2009.048(123), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p style=""margin-bottom:.0001pt"">Truc Nguyen was one of thousands of Vietnamese boat people who embarked on the dangerous seafaring journey to cross the South China Sea. Nguyen left Vietnam in 1980 on an overcrowded small fishing boat, and eventually made it to a refugee camp in Thailand. He was&nbsp;then sent to Indonesia via Singapore to another refugee camp. Like most Vietnamese refugees, Nguyen received sponsorship that enabled him to come to the United States. In his case, his brother had come to the United States years before and facilitated his sponsorship through a Lutheran church in Sturgeon Bay, Wisconsin.&nbsp; When Nguyen got off the plane in Chicago in the middle of February, he was a strange sight for other travelers. Wearing a coat given to him by Catholic Charities, he still wore sandals. He also struggled to communicate since he knew hardly any English.&nbsp;&nbsp;A short time later, Nguyen moved to San Antonio, Texas where an uncle lived. There he landed a job in shipping and receiving for a large company and studied English at night. Ngyuen eventually moved to Austin and has been a part of the leadership of the Vietnamese American Heritage Foundation since its inception in 2004.</p>",,,,English,1701776808,,,
383752,1,/ahc/vietnam-austin-shattered-history,Vietnam to Austin: A Shattered History,"<p>It is believed that the history of Vietnam dates back over 4,000 years ago. Because of a thousand years of Chinese imperial domination, much of the Chinese governmental and societal structure was adopted. In the 19th century, European colonial rule and the influence of Buddhism and Christianity shaped the country; however, the Vietnamese still kept alive a vibrant culture and language of their own through poetry and folk traditions.</p>\n\n<p>France withdrew its colonial interests in 1954. Soon after, the United States began supporting the republican government of South Vietnam against the Communist government of North Vietnam. For the next 21 years, Vietnam became a contested battleground and on April 30, 1975, South Vietnam surrendered to the North after the Communist North Vietnamese Army took control of Saigon. The War in Vietnam had a tremendous human impact. American casualties are well documented: 2,500,000 Americans served, 58,135 Americans died in the war, 303,616 were wounded, and 35,000 American civilians were killed. But while Vietnamese statistics are far less exact, the war had a much larger impact on them. Over 1.9 million Vietnamese (North and South) died in the war, 3.2 million were wounded, and over 14 million lost their homes and became refugees. In South Vietnam alone, the war created 300,000 orphans and 131,000 widows. After the fall of Saigon until 1982, more than 1.2 million Vietnamese resettled in 16 countries, including the US. It is estimated that over a million of these immigrants left Vietnam by boat, called “Boat People,” and over 500,000 did not survive the trip.</p>\n\n<h3>Community Profile: Nancy Bui</h3>\n\n<p><img alt=""[Nancy Bui and children], undated, AR.2009.048 (156), "" austin:="""" community="""" restoring="""" to="""" vietnam="""" /></p>\n\n<p>[Nancy Bui and children], undated, AR.2009.048 (156), ""Vietnam to Austin: Restoring Community"" Exhibit Collection</p>\n\n<p>Nancy Bui was a journalist in Vietnam, a country she hardly recognized after the North Vietnamese&nbsp;won the war. Bui was&nbsp;unable to cope with the&nbsp;persecution and oppression she faced as the government interfered and censored her reports&nbsp;about the community and&nbsp;also harassed her family and put her on continual surveillance. She and her children made their harrowing escape on Vietnamese New Year in 1979. Today, she is a tireless community leader and advocate. She served as President of the Vietnamese American Heritage Foundation and a talk-show host for Vietnamese Public Radio in Austin.</p>",,,,English,1701777101,,,
383746,1,/ahc/vietnam-austin-restoring-community,Vietnam to Austin: Restoring Community,"<h1 class=""rtecenter"">&nbsp;</h1>\n\n<h1 class=""rtecenter""><country-region w:st=""on""><strong>Vietnam</strong></country-region><strong> to </strong><place w:st=""on""><city w:st=""on""><strong>Austin</strong></city></place><strong>: Restoring Community&nbsp;</strong></h1>\n\n<p class=""rtecenter""><img alt="""" src=""/library/u13552/ar.2009.048130b.jpg"" style=""width: 600px; height: 538px;"" /></p>\n\n<p class=""rtecenter"">Truc Nguyen, circa 1970s, AR.2009.048(130) detail, Vietnam to Austin: Restoring Community Exhibit Collection</p>\n\n<p><b><i><country-region w:st=""on"">Vietnam</country-region> to <place w:st=""on""><city w:st=""on"">Austin</city></place>: Restoring Community&nbsp;</i></b>was a historical exhibit presented by the <placename w:st=""on"">Austin</placename><placename w:st=""on"">History</placename><placetype w:st=""on"">Center</placetype>&nbsp;in partnership with the Vietnamese American Heritage Foundation from&nbsp;<strong>February 21 to July 17, 2009.</strong>&nbsp;This exhibit was the first Asian American exhibit at the Austin History Center and one of the first of its kind in the country. An opening reception was held on March 7, 2009 from 2-4pm at the Austin History Center (810 Guadalupe). The exhibit and program was developed by the Vietnamese American Heritage Foundation and Community Archivist&nbsp;Esther Chung Martin.&nbsp;</p>\n\n<p>Focusing on the history, transition, and contributions of local Vietnamese Americans in <city w:st=""on""><place w:st=""on"">Austin</place></city>, <b><i><country-region w:st=""on"">Vietnam</country-region> to <place w:st=""on""><city w:st=""on"">Austin</city></place></i></b>&nbsp;included historic photos, documents, periodicals, and archives. Each display weaved personal stories of endurance and triumph that will illustrate their incredible journeys and the ways they have embraced <city w:st=""on""><place w:st=""on"">Austin</place></city> as their new home.</p>\n\n<p>From the 1980s to&nbsp;2000s, Vietnamese Americans were&nbsp;the largest Asian American population&nbsp;<city w:st=""on""><place w:st=""on"">Austin.&nbsp;</place></city>Many were drawn to this city for its warm climate, job opportunities, plentiful resources, and supportive community. As a result, hundreds of Vietnamese-owned businesses&nbsp;sprouted up all over town including restaurants, nail salons, supermarkets, and video stores that&nbsp;added tremendous economic growth to the city.&nbsp; Also, many&nbsp;organizations, programs, and religious institutions developed&nbsp;to serve this growing population.</p>\n\n<p class=""rtejustify"">&nbsp;</p>\n\n<p class=""rtecenter""><em><strong>Please visit our online selection of </strong></em></p>\n\n<h3 class=""rtecenter""><em><strong>Vietnam to Austin: Restoring Community</strong></em></h3>\n\n<h3 class=""rtecenter""><a href=""/ahc/vietnam-austin-shatteredhistory"">A Shattered History</a></h3>\n\n<h3 class=""rtecenter""><a href=""/ahc/vietnam-austin-seekingrefuge"">Seeking Refuge</a></h3>\n\n<h3 class=""rtecenter""><a href=""/ahc/vietnam-austin-learningtoliveagain"">Learning To Live Again</a></h3>\n\n<h3 class=""rtecenter""><a href=""/ahc/vietnam-austin-connectedbyfaith"">Connected By Faith</a></h3>\n\n<h3 class=""rtecenter""><a href=""/ahc/vietnam-austin-cultivatingafuture"">Cultivating A Future</a></h3>",,http://library.austintexas.gov/library/ar.2009.048130.jpg,"Truc Nguyen, circa 1970s",English,1701776821,"<p>Truc Nguyen, circa 1970s, AR.2009.048(130) detail, Vietnam to Austin: Restoring Community Exhibit Collection</p>\n",,
381675,1,/ahc/fehr-granger-mid-century-architects,Fehr &amp; Granger: Mid-Century Architects,"<p><em>&nbsp;<strong>“Beauty, no matter where or when, should be useful to man. </strong></em></p>\n\n<p><em><strong>It should give pleasure to the eye, and most of all, uplift the spirit.” </strong></em></p>\n\n<p>-Arthur Fehr, 1963</p>\n\n<p>&nbsp;</p>\n\n<p><strong><em>“We try to contribute in some small way a little something of beauty to our physical environment,</em></strong></p>\n\n<p><strong><em>and, through beauty, bring a little happiness and pleasure to those who come in contact with it.”</em></strong></p>\n\n<p>-Charles Granger, 1958</p>\n\n<p><img alt=""Charles Granger and Arthur Fehr sitting at a table covered in drawings."" src=""/library/u13982/ar_2014_029_24725stroke_0.jpg"" style=""width: 500px; height: 393px;"" /><br />\n<span style=""font-size:8.0pt""><span>Charles Granger and Arthur Fehr, 1958, DM-58-24725, Photograph by Dewey Mears</span></span></p>\n\n<p>Fehr &amp; Granger was an Austin, Texas architectural firm founded&nbsp;by Arthur Fehr and Charles&nbsp;Granger, Jr. in 1946. Working in a Modernist style, the next two decades were highly productive for the esteemed firm. Winning numerous awards, they created inspiring projects that include residential, commercial, educational and ecclesiastical designs throughout central Texas.&nbsp;&nbsp;Arthur Fehr (1904-1969) earned his architecture degree in 1925 from the University of Texas and went on to graduate study at Columbia University, Beaux Arts Institute of Design and New York University. Charles Granger (1913-1966) was an architectural student at the University of Texas when he was hired as a summer intern by Arthur Fehr. After graduation in 1936, he worked for the influential modernist architect, Richard Neutra in Los Angeles, then earned a master’s degree from Cranbrook Academy in Michigan, where he worked as a designer for the famed Eliel Saarinen before returning to Austin, Texas. Mr. Fehr was made a fellow of the American Institute of Architects in 1957. Charles Granger was killed in an automobile accident in 1966 shortly after becoming a fellow to the American Institute of Architects. Arthur Fehr continued to practice under the firm name Fehr and Granger until his death in 1969. The images in this exhibit are only a selection of those related to the work of Fehr &amp; Granger in the collections at the Austin History Center, Austin Public Library.&nbsp;</p>\n\n<p>&nbsp;</p>\n\n<p><a href=""/ahc/fehr-granger-mid-century-architects"">Home</a> | <a href=""/ahc/fehr-granger-residential"">Residential</a>&nbsp;| <a href=""/ahc/fehr-granger-commercial-work"">Commercial</a> |<a href=""/ahc/fehr-granger-educational"">&nbsp;Educational</a> |&nbsp;<a href=""/ahc/fehr-granger-ecclesiastical-work"">Ecclesiastical</a> |&nbsp;<a href=""/ahc/fehr-granger-bastrop-state-park"">Bastrop Park</a>&nbsp;| <a href=""/ahc/fehr-and-granger-map-works"">Map</a> | <a href=""/ahc/fehr-granger-austin-history-center-resources"">Resources</a></p>",,http://library.austintexas.gov/library/photo-banner-960-crop.jpg,Architects at desks in a black and white photo over a Fehr and Granger logo,English,1712091043,,,
381506,1,/ahc/finding-refuge-austin-1848-1980,"Finding Refuge in Austin, 1848 to 1980","<h4 class=""rtecenter"">February 21, 2017 - September 17, 2017</h4>\n\n<p class=""rtecenter""><img alt=""Image: AS-61-33161-1, Austin American Statesman Photo Morgue. "" src=""/library/u284/as-61-33162_001b.jpg"" style=""line-height: 20.8px; text-align: center; width: 50%; height: 15%; float: left; margin: 10px;"" /></p>\n\n<p><span style=""font-size: 18px; line-height: 28px;"">From the Germans who fled Germany in mid-19<sup>th</sup> century as political dissenters to the Vietnamese and Cambodians forced to flee war and violence in the late 1970s, the history of refugees in Austin spans well over a century and demonstrates just how integral refugees have been to the development of this city. An interest in providing a home to communities in need has a long history in Austin and Travis County. Whether serving as a temporary refuge for families displaced by war or natural disaster or engaging in activism to support the safe passage and resettlement of refugees around the world, Austin has provided space for new communities to flourish. Yet, refugees have also faced discrimination when claiming Austin as their new home. <i>Finding Refuge in Austin </i>considers how refugees in Austin have grappled with these challenges and worked to empower themselves and their communities. With Texas recently withdrawing from the federal Refugee Resettlement Program, this exhibit is timely, and also an important reminder of the historical roots and contributions of refugees in Austin and Travis County. </span></p>\n\n<p><span style=""font-size: 18px;"">Image: AS-61-33161-01. <a href=""http://www.lib.utexas.edu/taro/aushc/00442/ahc-00442.html"">Austin American Statesman Photo Morgue</a>, photo by and (c) Austin American Statesman.&nbsp;</span></p>\n\n<p><span class=""poor-rich"" style=""font-size: 18px; line-height: 28px"">Click the thumbnail images below to view more from the exhibit. Visit the AHC to see the exhibit starting on February 21, 2017.&nbsp;</span></p>",,,,English,1701779502,"<p><a href=""http://www.lib.utexas.edu/taro/aushc/00442/ahc-00442.html"">Austin American Statesman Photo Morgue</a>, photo by Austin American-Statesman.&nbsp;</p>\n",,
